304678fb79adc7d18bc570816e65c16f.(9, 6).Apex	so much packed in a small <e1>case</e1> and very <e2>affordable</e2>
d460f81b43998cfb748cde2be9836aec.(3, 6).Apex	for the first <e1>few</e1> week this <e2>player</e2> was everything i expected it to be an affordable multi-format dvd player with a stylish slim case as advertised
-(e1, e2)
01718f91df378fcdfc1e18e529d84f5e.(6, 8).Apex	this is probably one of the <e1>few</e1> dvd <e2>player</e2> at 40 that can play almost everything you throw at it
-(e1, e2)
80a2e096524056f7ac5d85b13f7b69fe.(36, 12).Apex	but about 25 of dvd 's i 've played on ithave a <e1>problem</e1> when watching a movie the picture will freeze but the dvd still play and eventualy the picture kick back in after skipping a <e2>few</e2> moment
-(e2, e1)
84b3210547b32bd5ab20ec53b3438380.(3, 16).Apex	there were a <e1>few</e1> attractive feature such as the small size and the layout of the <e2>remote</e2>
-(e1, e2)
84b3210547b32bd5ab20ec53b3438380.(3, 10).Apex	there were a <e1>few</e1> attractive feature such as the small <e2>size</e2> and the layout of the remote
-(e1, e2)
d460f81b43998cfb748cde2be9836aec.(3, 4).Apex	for the first <e1>few</e1> <e2>week</e2> this player was everything i expected it to be an affordable multi-format dvd player with a stylish slim case as advertised
-(e1, e2)
01bd9627b997fb43d6e384241050849a.(12, 9).Apex	as a whole the dvd player has a sleek <e1>design</e1> and work <e2>fine</e2>
-(e2, e1)
c6d4707ef2fab9972637895ce8590367.(5, 18).Apex	seems to read most dvds <e1>fine</e1> and read quietly i had a pioneer player that had fairly loud <e2>disc</e2> spin noise
-(e1, e2)
542d552b6a80169971106c0493d88457.(12, 16).Apex	when i hooked it up it only produced sound a cd played <e1>fine</e1> but with a <e2>dvd</e2> i only got the audio no picture
-(e1, e2)
74f5e24e9641d9668bffdc61cfcfa718.(4, 1).Apex	the <e1>dvd</e1> player is <e2>fine</e2>
-(e2, e1)
01bd9627b997fb43d6e384241050849a.(12, 4).Apex	as a whole the <e1>dvd</e1> player has a sleek design and work <e2>fine</e2>
-(e2, e1)
c6b55dc63ae357379b1ceebd32e4b39a.(18, 13).Apex	so far we 've only used this player a few time to watch <e1>movie</e1> and it has worked <e2>fine</e2>
-(e2, e1)
4eadb02423a841209104f9bbc14fba06.(9, 19).Apex	the catch is that while it play movie just <e1>fine</e1> it has refused to read second discs with the <e2>movie</e2> extra on them on the two occaisions when i tried to do that
-(e1, e2)
4eadb02423a841209104f9bbc14fba06.(9, 7).Apex	the catch is that while it play <e1>movie</e1> just <e2>fine</e2> it has refused to read second discs with the movie extra on them on the two occaisions when i tried to do that
-(e2, e1)
c6d4707ef2fab9972637895ce8590367.(5, 20).Apex	seems to read most dvds <e1>fine</e1> and read quietly i had a pioneer player that had fairly loud disc spin <e2>noise</e2>
-(e1, e2)
c6d4707ef2fab9972637895ce8590367.(5, 19).Apex	seems to read most dvds <e1>fine</e1> and read quietly i had a pioneer player that had fairly loud disc <e2>spin</e2> noise
-(e1, e2)
01bd9627b997fb43d6e384241050849a.(12, 11).Apex	as a whole the dvd player has a sleek design and <e1>work</e1> <e2>fine</e2>
-(e2, e1)
328564a122898c77ba7fd6bd1d5f8da8.(5, 4).Apex	this player seems to <e1>work</e1> <e2>fine</e2> with everything else
-(e2, e1)
cc11c712dec9b78a5e6186104998785b.(3, 2).Apex	one still <e1>work</e1> <e2>fine</e2> the other quit after one day
-(e2, e1)
98987f7c3d051f108c91a160e1342d6f.(15, 14).Apex	i checked out the amazon review and i 'm pleased to say mine worked <e1>work</e1> <e2>fine</e2> right out of the box
-(e2, e1)
499db2ac0845c79245f70ba7c8bc100b.(0, 8).Apex	<e1>first</e1> the player did not allow me to <e2>access</e2> the menus of dvds
-(e1, e2)
d460f81b43998cfb748cde2be9836aec.(2, 23).Apex	for the <e1>first</e1> few week this player was everything i expected it to be an affordable multi-format dvd player with a stylish slim <e2>case</e2> as advertised
-(e1, e2)
bf481030e644dc8ef932d183242a13dd.(7, 8).Apex	this is wonderful to have for your <e1>first</e1> <e2>dvd</e2> player
-(e1, e2)
c43abed7f15effb4bbf9b56cd5cdb4e1.(5, 18).Apex	3 4 way through the <e1>first</e1> disk we played on it naturally on 31 day after purchase the <e2>dvd</e2> player froze
-(e1, e2)
650f5a9fc8d23e1f5feb8370e59dc04f.(0, 6).Apex	<e1>first</e1> of all i bought this <e2>dvd</e2> as a christmas present for my girlfriend and i am somewhat disappointed
-(e1, e2)
d460f81b43998cfb748cde2be9836aec.(2, 17).Apex	for the <e1>first</e1> few week this player was everything i expected it to be an affordable multi-format <e2>dvd</e2> player with a stylish slim case as advertised
-(e1, e2)
499db2ac0845c79245f70ba7c8bc100b.(0, 12).Apex	<e1>first</e1> the player did not allow me to access the menus of <e2>dvds</e2>
-(e1, e2)
37f15e561ae7ac9028bbedac55bbb567.(1, 23).Apex	at <e1>first</e1> i thought it is only a isolated incident but i was proven wrong when the player would not read my alias <e2>dvds</e2> as well
-(e1, e2)
c43abed7f15effb4bbf9b56cd5cdb4e1.(5, 20).Apex	3 4 way through the <e1>first</e1> disk we played on it naturally on 31 day after purchase the dvd player <e2>froze</e2>
-(e1, e2)
37f15e561ae7ac9028bbedac55bbb567.(1, 9).Apex	at <e1>first</e1> i thought it is only a isolated <e2>incident</e2> but i was proven wrong when the player would not read my alias dvds as well
-(e1, e2)
499db2ac0845c79245f70ba7c8bc100b.(0, 10).Apex	<e1>first</e1> the player did not allow me to access the <e2>menus</e2> of dvds
-(e1, e2)
c43abed7f15effb4bbf9b56cd5cdb4e1.(5, 16).Apex	3 4 way through the <e1>first</e1> disk we played on it naturally on 31 day after <e2>purchase</e2> the dvd player froze
-(e1, e2)
d460f81b43998cfb748cde2be9836aec.(2, 4).Apex	for the <e1>first</e1> few <e2>week</e2> this player was everything i expected it to be an affordable multi-format dvd player with a stylish slim case as advertised
-(e1, e2)
7b185dc9dc52f36cb42d1ebf9b7745f6.(1, 14).Apex	the <e1>front</e1> door is miss aligned on my unit and you have to manually <e2>life</e2> it up just so slightly for the door to close a very annoying thing after ahwile
-(e1, e2)
6eef518602a7cd948f9f4698d3515a9f.(3, 5).Apex	even viewed cd <e1>full</e1> of <e2>jpgs</e2>
-(e1, e2)
fe7e064c5f0fe9bf989fab990cc0ea99.(14, 3).Apex	i bought this <e1>apex</e1> 2600 dvd player for myself at christmas because it got <e2>good</e2> review as a good value for the money on a variety of different site
-(e2, e1)
fe7e064c5f0fe9bf989fab990cc0ea99.(18, 3).Apex	i bought this <e1>apex</e1> 2600 dvd player for myself at christmas because it got good review as a <e2>good</e2> value for the money on a variety of different site
-(e2, e1)
b5938c00042cd746390dea8b55ef54ef.(6, 3).Apex	for the money <e1>apex</e1> machine have <e2>good</e2> feature
-(e2, e1)
d4aea072a4d82c259b1c6322dc4b650a.(8, 11).Apex	it 's very sleek looking with a very <e1>good</e1> front panel <e2>button</e2> layout and it has a great feature set
-(e1, e2)
eaf28814dbb3074b0659f527029d3186.(3, 15).Apex	seemed like a <e1>good</e1> deal but this pos frequently can not recognize dvds and music <e2>cd</e2> takes a long time loading and then concludes no disc
-(e1, e2)
89ec4ff01b352ade745a12c65404dee0.(6, 3).Apex	output through component <e1>connection</e1> look very <e2>good</e2> on my non-hd tv
-(e2, e1)
eaf28814dbb3074b0659f527029d3186.(3, 25).Apex	seemed like a <e1>good</e1> deal but this pos frequently can not recognize dvds and music cd takes a long time loading and then concludes no <e2>disc</e2>
-(e1, e2)
63310a5e17e811681d048ee50bff3ac2.(29, 14).Apex	the build quality feel solid it does n 't shake or whine while playing <e1>discs</e1> and the picture and sound is top notch both dts and dd5 1 sound <e2>good</e2>
-(e2, e1)
63310a5e17e811681d048ee50bff3ac2.(29, 24).Apex	the build quality feel solid it does n 't shake or whine while playing discs and the picture and sound is top notch both <e1>dts</e1> and dd5 1 sound <e2>good</e2>
-(e2, e1)
fe7e064c5f0fe9bf989fab990cc0ea99.(14, 5).Apex	i bought this apex 2600 <e1>dvd</e1> player for myself at christmas because it got <e2>good</e2> review as a good value for the money on a variety of different site
-(e2, e1)
fe7e064c5f0fe9bf989fab990cc0ea99.(18, 5).Apex	i bought this apex 2600 <e1>dvd</e1> player for myself at christmas because it got good review as a <e2>good</e2> value for the money on a variety of different site
-(e2, e1)
1bb0466c467ad147fa770ae552afdb45.(7, 8).Apex	for the most part this is a <e1>good</e1> <e2>dvd</e2> player
-(e1, e2)
eaf28814dbb3074b0659f527029d3186.(3, 12).Apex	seemed like a <e1>good</e1> deal but this pos frequently can not recognize <e2>dvds</e2> and music cd takes a long time loading and then concludes no disc
-(e1, e2)
1884b63b7e64eae77c5a882b7904a99b.(8, 5).Apex	easy to use small form <e1>factor</e1> and look <e2>good</e2> to boot
-(e2, e1)
d4aea072a4d82c259b1c6322dc4b650a.(8, 18).Apex	it 's very sleek looking with a very <e1>good</e1> front panel button layout and it has a great <e2>feature</e2> set
-(e1, e2)
b3d6250f8c0e2d723e032191144e6c20.(14, 12).Apex	the player looked good right out of the box offering lot of <e1>feature</e1> and <e2>good</e2> styling
-(e2, e1)
b3d6250f8c0e2d723e032191144e6c20.(3, 12).Apex	the player looked <e1>good</e1> right out of the box offering lot of <e2>feature</e2> and good styling
-(e1, e2)
b5938c00042cd746390dea8b55ef54ef.(6, 7).Apex	for the money apex machine have <e1>good</e1> <e2>feature</e2>
-(e1, e2)
63310a5e17e811681d048ee50bff3ac2.(29, 3).Apex	the build quality <e1>feel</e1> solid it does n 't shake or whine while playing discs and the picture and sound is top notch both dts and dd5 1 sound <e2>good</e2>
-(e2, e1)
554c4ad0dd6259a9c61e4817388e8064.(26, 34).Apex	the unit seems to play all format that i have put in it jpeg kodak pic 's and dvd-r i have read other review and some <e1>good</e1> and soom not so good but my <e2>feeling</e2> at this time is two thumb up
-(e1, e2)
554c4ad0dd6259a9c61e4817388e8064.(31, 34).Apex	the unit seems to play all format that i have put in it jpeg kodak pic 's and dvd-r i have read other review and some good and soom not so <e1>good</e1> but my <e2>feeling</e2> at this time is two thumb up
-(e1, e2)
1884b63b7e64eae77c5a882b7904a99b.(8, 4).Apex	easy to use small <e1>form</e1> factor and look <e2>good</e2> to boot
-(e2, e1)
554c4ad0dd6259a9c61e4817388e8064.(26, 6).Apex	the unit seems to play all <e1>format</e1> that i have put in it jpeg kodak pic 's and dvd-r i have read other review and some <e2>good</e2> and soom not so good but my feeling at this time is two thumb up
-(e2, e1)
554c4ad0dd6259a9c61e4817388e8064.(31, 6).Apex	the unit seems to play all <e1>format</e1> that i have put in it jpeg kodak pic 's and dvd-r i have read other review and some good and soom not so <e2>good</e2> but my feeling at this time is two thumb up
-(e2, e1)
d4aea072a4d82c259b1c6322dc4b650a.(8, 9).Apex	it 's very sleek looking with a very <e1>good</e1> <e2>front</e2> panel button layout and it has a great feature set
-(e1, e2)
554c4ad0dd6259a9c61e4817388e8064.(31, 13).Apex	the unit seems to play all format that i have put in it <e1>jpeg</e1> kodak pic 's and dvd-r i have read other review and some good and soom not so <e2>good</e2> but my feeling at this time is two thumb up
-(e2, e1)
554c4ad0dd6259a9c61e4817388e8064.(26, 13).Apex	the unit seems to play all format that i have put in it <e1>jpeg</e1> kodak pic 's and dvd-r i have read other review and some <e2>good</e2> and soom not so good but my feeling at this time is two thumb up
-(e2, e1)
eaf28814dbb3074b0659f527029d3186.(3, 20).Apex	seemed like a <e1>good</e1> deal but this pos frequently can not recognize dvds and music cd takes a long time <e2>loading</e2> and then concludes no disc
-(e1, e2)
b1ebe13ded22c85b218f059ffd618f4a.(0, 1).Apex	<e1>good</e1> <e2>look</e2>
-(e1, e2)
89ec4ff01b352ade745a12c65404dee0.(6, 4).Apex	output through component connection <e1>look</e1> very <e2>good</e2> on my non-hd tv
-(e2, e1)
1884b63b7e64eae77c5a882b7904a99b.(8, 7).Apex	easy to use small form factor and <e1>look</e1> <e2>good</e2> to boot
-(e2, e1)
b3d6250f8c0e2d723e032191144e6c20.(14, 10).Apex	the player looked good right out of the box offering <e1>lot</e1> of feature and <e2>good</e2> styling
-(e2, e1)
b3d6250f8c0e2d723e032191144e6c20.(3, 10).Apex	the player looked <e1>good</e1> right out of the box offering <e2>lot</e2> of feature and good styling
-(e1, e2)
b5938c00042cd746390dea8b55ef54ef.(6, 4).Apex	for the money apex <e1>machine</e1> have <e2>good</e2> feature
-(e2, e1)
fe7e064c5f0fe9bf989fab990cc0ea99.(14, 22).Apex	i bought this apex 2600 dvd player for myself at christmas because it got <e1>good</e1> review as a good value for the <e2>money</e2> on a variety of different site
-(e1, e2)
fe7e064c5f0fe9bf989fab990cc0ea99.(18, 22).Apex	i bought this apex 2600 dvd player for myself at christmas because it got good review as a <e1>good</e1> value for the <e2>money</e2> on a variety of different site
-(e1, e2)
b5938c00042cd746390dea8b55ef54ef.(6, 2).Apex	for the <e1>money</e1> apex machine have <e2>good</e2> feature
-(e2, e1)
eaf28814dbb3074b0659f527029d3186.(3, 14).Apex	seemed like a <e1>good</e1> deal but this pos frequently can not recognize dvds and <e2>music</e2> cd takes a long time loading and then concludes no disc
-(e1, e2)
63310a5e17e811681d048ee50bff3ac2.(29, 22).Apex	the build quality feel solid it does n 't shake or whine while playing discs and the picture and sound is top <e1>notch</e1> both dts and dd5 1 sound <e2>good</e2>
-(e2, e1)
89ec4ff01b352ade745a12c65404dee0.(6, 0).Apex	<e1>output</e1> through component connection look very <e2>good</e2> on my non-hd tv
-(e2, e1)
d4aea072a4d82c259b1c6322dc4b650a.(8, 10).Apex	it 's very sleek looking with a very <e1>good</e1> front <e2>panel</e2> button layout and it has a great feature set
-(e1, e2)
1bb0466c467ad147fa770ae552afdb45.(7, 3).Apex	for the most <e1>part</e1> this is a <e2>good</e2> dvd player
-(e2, e1)
554c4ad0dd6259a9c61e4817388e8064.(26, 15).Apex	the unit seems to play all format that i have put in it jpeg kodak <e1>pic</e1> 's and dvd-r i have read other review and some <e2>good</e2> and soom not so good but my feeling at this time is two thumb up
-(e2, e1)
554c4ad0dd6259a9c61e4817388e8064.(31, 15).Apex	the unit seems to play all format that i have put in it jpeg kodak <e1>pic</e1> 's and dvd-r i have read other review and some good and soom not so <e2>good</e2> but my feeling at this time is two thumb up
-(e2, e1)
63310a5e17e811681d048ee50bff3ac2.(29, 17).Apex	the build quality feel solid it does n 't shake or whine while playing discs and the <e1>picture</e1> and sound is top notch both dts and dd5 1 sound <e2>good</e2>
-(e2, e1)
5b3429e381941b13bbcb18bc671c6eaf.(11, 1).Apex	the <e1>picture</e1> is clear bright and sharp and the sound is <e2>good</e2>
-(e2, e1)
63310a5e17e811681d048ee50bff3ac2.(29, 2).Apex	the build <e1>quality</e1> feel solid it does n 't shake or whine while playing discs and the picture and sound is top notch both dts and dd5 1 sound <e2>good</e2>
-(e2, e1)
b2d71aa5c89ea5c46f9690a4448bb3e9.(0, 1).Apex	<e1>good</e1> <e2>quality</e2> video
-(e1, e2)
fe7e064c5f0fe9bf989fab990cc0ea99.(18, 15).Apex	i bought this apex 2600 dvd player for myself at christmas because it got good <e1>review</e1> as a <e2>good</e2> value for the money on a variety of different site
-(e2, e1)
fe7e064c5f0fe9bf989fab990cc0ea99.(14, 15).Apex	i bought this apex 2600 dvd player for myself at christmas because it got <e1>good</e1> <e2>review</e2> as a good value for the money on a variety of different site
-(e1, e2)
554c4ad0dd6259a9c61e4817388e8064.(26, 23).Apex	the unit seems to play all format that i have put in it jpeg kodak pic 's and dvd-r i have read other <e1>review</e1> and some <e2>good</e2> and soom not so good but my feeling at this time is two thumb up
-(e2, e1)
554c4ad0dd6259a9c61e4817388e8064.(31, 23).Apex	the unit seems to play all format that i have put in it jpeg kodak pic 's and dvd-r i have read other <e1>review</e1> and some good and soom not so <e2>good</e2> but my feeling at this time is two thumb up
-(e2, e1)
29d2614f705ec8f146e4eddeb3c87bcf.(8, 4).Apex	finally amazon 's free <e1>shipping</e1> is really getting <e2>good</e2> it took only 3 working day for the player to reach me
-(e2, e1)
fe7e064c5f0fe9bf989fab990cc0ea99.(14, 28).Apex	i bought this apex 2600 dvd player for myself at christmas because it got <e1>good</e1> review as a good value for the money on a variety of different <e2>site</e2>
-(e1, e2)
fe7e064c5f0fe9bf989fab990cc0ea99.(18, 28).Apex	i bought this apex 2600 dvd player for myself at christmas because it got good review as a <e1>good</e1> value for the money on a variety of different <e2>site</e2>
-(e1, e2)
63310a5e17e811681d048ee50bff3ac2.(29, 19).Apex	the build quality feel solid it does n 't shake or whine while playing discs and the picture and <e1>sound</e1> is top notch both dts and dd5 1 sound <e2>good</e2>
-(e2, e1)
63310a5e17e811681d048ee50bff3ac2.(29, 28).Apex	the build quality feel solid it does n 't shake or whine while playing discs and the picture and sound is top notch both dts and dd5 1 <e1>sound</e1> <e2>good</e2>
-(e2, e1)
5b3429e381941b13bbcb18bc671c6eaf.(11, 9).Apex	the picture is clear bright and sharp and the <e1>sound</e1> is <e2>good</e2>
-(e2, e1)
89ec4ff01b352ade745a12c65404dee0.(6, 10).Apex	output through component connection look very <e1>good</e1> on my non-hd <e2>tv</e2>
-(e1, e2)
554c4ad0dd6259a9c61e4817388e8064.(26, 1).Apex	the <e1>unit</e1> seems to play all format that i have put in it jpeg kodak pic 's and dvd-r i have read other review and some <e2>good</e2> and soom not so good but my feeling at this time is two thumb up
-(e2, e1)
554c4ad0dd6259a9c61e4817388e8064.(31, 1).Apex	the <e1>unit</e1> seems to play all format that i have put in it jpeg kodak pic 's and dvd-r i have read other review and some good and soom not so <e2>good</e2> but my feeling at this time is two thumb up
-(e2, e1)
fe7e064c5f0fe9bf989fab990cc0ea99.(18, 25).Apex	i bought this apex 2600 dvd player for myself at christmas because it got good review as a <e1>good</e1> value for the money on a <e2>variety</e2> of different site
-(e1, e2)
fe7e064c5f0fe9bf989fab990cc0ea99.(14, 25).Apex	i bought this apex 2600 dvd player for myself at christmas because it got <e1>good</e1> review as a good value for the money on a <e2>variety</e2> of different site
-(e1, e2)
d4aea072a4d82c259b1c6322dc4b650a.(17, 11).Apex	it 's very sleek looking with a very good front panel <e1>button</e1> layout and it has a <e2>great</e2> feature set
-(e2, e1)
9982cf025cf09cf43f1be57afa09155b.(16, 27).Apex	all in all trying to save some money on this player resulted in me shelling a <e1>great</e1> deal more when i purchased a much nicer dvd vcr <e2>combo</e2> player to make up for blazing crappiness of this very embarassing gift
-(e1, e2)
9f50c25f5f7fb84cc8995a85ac62697d.(7, 13).Apex	received apex dvd and the picture was <e1>great</e1> when set up with s <e2>connector</e2>
-(e1, e2)
9982cf025cf09cf43f1be57afa09155b.(16, 34).Apex	all in all trying to save some money on this player resulted in me shelling a <e1>great</e1> deal more when i purchased a much nicer dvd vcr combo player to make up for blazing <e2>crappiness</e2> of this very embarassing gift
-(e1, e2)
f79b17a89c5ad1b3a2e790a644f71628.(0, 4).Apex	<e1>great</e1> quality picture and <e2>feature</e2>
-(e1, e2)
d4aea072a4d82c259b1c6322dc4b650a.(17, 18).Apex	it 's very sleek looking with a very good front panel button layout and it has a <e1>great</e1> <e2>feature</e2> set
-(e1, e2)
861504db448efd462039eef3646bd387.(0, 1).Apex	<e1>great</e1> <e2>feature</e2> list poor reliability
-(e1, e2)
368c413655d2e3b779a34ef7a27efb85.(5, 2).Apex	the aff <e1>feature</e1> did a <e2>great</e2> job converting the letterbox to fill 3 4 of the screen and the image still looked normal
-(e2, e1)
71b6cd812bbbbaa721bb8c2de2cd2520.(6, 7).Apex	i find this to be a <e1>great</e1> <e2>feature</e2>
-(e1, e2)
5dbe0792295c9820d86841e5c5bb0571.(2, 7).Apex	it look <e1>great</e1> and is loaded with <e2>feature</e2>
-(e1, e2)
d4aea072a4d82c259b1c6322dc4b650a.(17, 9).Apex	it 's very sleek looking with a very good <e1>front</e1> panel button layout and it has a <e2>great</e2> feature set
-(e2, e1)
9982cf025cf09cf43f1be57afa09155b.(16, 39).Apex	all in all trying to save some money on this player resulted in me shelling a <e1>great</e1> deal more when i purchased a much nicer dvd vcr combo player to make up for blazing crappiness of this very embarassing <e2>gift</e2>
-(e1, e2)
368c413655d2e3b779a34ef7a27efb85.(5, 19).Apex	the aff feature did a <e1>great</e1> job converting the letterbox to fill 3 4 of the screen and the <e2>image</e2> still looked normal
-(e1, e2)
d4aea072a4d82c259b1c6322dc4b650a.(17, 12).Apex	it 's very sleek looking with a very good front panel button <e1>layout</e1> and it has a <e2>great</e2> feature set
-(e2, e1)
368c413655d2e3b779a34ef7a27efb85.(5, 9).Apex	the aff feature did a <e1>great</e1> job converting the <e2>letterbox</e2> to fill 3 4 of the screen and the image still looked normal
-(e1, e2)
3f04a58bcda5a12c04c16b5a555e8d34.(11, 15).Apex	my dad also has an apex tv and it was another <e1>great</e1> value for the <e2>money</e2>
-(e1, e2)
9982cf025cf09cf43f1be57afa09155b.(16, 7).Apex	all in all trying to save some <e1>money</e1> on this player resulted in me shelling a <e2>great</e2> deal more when i purchased a much nicer dvd vcr combo player to make up for blazing crappiness of this very embarassing gift
-(e2, e1)
9982cf025cf09cf43f1be57afa09155b.(16, 24).Apex	all in all trying to save some money on this player resulted in me shelling a <e1>great</e1> deal more when i purchased a much <e2>nicer</e2> dvd vcr combo player to make up for blazing crappiness of this very embarassing gift
-(e1, e2)
d4aea072a4d82c259b1c6322dc4b650a.(17, 10).Apex	it 's very sleek looking with a very good front <e1>panel</e1> button layout and it has a <e2>great</e2> feature set
-(e2, e1)
2a1edb6a0f322e1800ffc50b6c0183ca.(7, 4).Apex	well this apex dvd <e1>player</e1> turned out <e2>great</e2>
-(e2, e1)
3cb598830d17cf87874a5a2af03a542e.(7, 2).Apex	when the <e1>player</e1> was working it was <e2>great</e2> but
-(e2, e1)
9982cf025cf09cf43f1be57afa09155b.(16, 28).Apex	all in all trying to save some money on this player resulted in me shelling a <e1>great</e1> deal more when i purchased a much nicer dvd vcr combo <e2>player</e2> to make up for blazing crappiness of this very embarassing gift
-(e1, e2)
9982cf025cf09cf43f1be57afa09155b.(16, 10).Apex	all in all trying to save some money on this <e1>player</e1> resulted in me shelling a <e2>great</e2> deal more when i purchased a much nicer dvd vcr combo player to make up for blazing crappiness of this very embarassing gift
-(e2, e1)
c6a83ea9da57eb20f326e6abc581d1df.(4, 0).Apex	<e1>player</e1> work and look <e2>great</e2> if you can get the dvd 's to play
-(e2, e1)
f79b17a89c5ad1b3a2e790a644f71628.(0, 1).Apex	<e1>great</e1> <e2>quality</e2> picture and feature
-(e1, e2)
861504db448efd462039eef3646bd387.(0, 4).Apex	<e1>great</e1> feature list poor <e2>reliability</e2>
-(e1, e2)
368c413655d2e3b779a34ef7a27efb85.(5, 16).Apex	the aff feature did a <e1>great</e1> job converting the letterbox to fill 3 4 of the <e2>screen</e2> and the image still looked normal
-(e1, e2)
3f04a58bcda5a12c04c16b5a555e8d34.(11, 6).Apex	my dad also has an apex <e1>tv</e1> and it was another <e2>great</e2> value for the money
-(e2, e1)
9982cf025cf09cf43f1be57afa09155b.(16, 26).Apex	all in all trying to save some money on this player resulted in me shelling a <e1>great</e1> deal more when i purchased a much nicer dvd <e2>vcr</e2> combo player to make up for blazing crappiness of this very embarassing gift
-(e1, e2)
d207950b5632304baf3d4d84342cf373.(2, 1).Apex	it <e1>work</e1> <e2>great</e2>
-(e2, e1)
0bd186f76e74c82503b313c048781adb.(1, 0).Apex	<e1>work</e1> <e2>great</e2>
-(e2, e1)
c6a83ea9da57eb20f326e6abc581d1df.(4, 1).Apex	player <e1>work</e1> and look <e2>great</e2> if you can get the dvd 's to play
-(e2, e1)
4fb852ec14462e823ccc18ab597d17b6.(32, 10).Apex	i did not want to have high expectation for this <e1>apex</e1> player because of the price but it is definitely working out much better than what i would expect from an expensive <e2>high-end</e2> player
-(e2, e1)
4fb852ec14462e823ccc18ab597d17b6.(32, 15).Apex	i did not want to have high expectation for this apex player because of the <e1>price</e1> but it is definitely working out much better than what i would expect from an expensive <e2>high-end</e2> player
-(e2, e1)
d8105077a4434e718fee25bbe1966b63.(5, 27).Apex	i looked into buying an <e1>inexpensive</e1> dvd player that had more than the standard set of feature and this item seemed to be the best in that <e2>category</e2>
-(e1, e2)
d8105077a4434e718fee25bbe1966b63.(5, 16).Apex	i looked into buying an <e1>inexpensive</e1> dvd player that had more than the standard set of <e2>feature</e2> and this item seemed to be the best in that category
-(e1, e2)
2025b4edf2d69fbd4b39760b1f763881.(6, 12).Apex	i was impressed by this very <e1>inexpensive</e1> player for the first three <e2>hour</e2> and then it died
-(e1, e2)
d8105077a4434e718fee25bbe1966b63.(5, 19).Apex	i looked into buying an <e1>inexpensive</e1> dvd player that had more than the standard set of feature and this <e2>item</e2> seemed to be the best in that category
-(e1, e2)
d8105077a4434e718fee25bbe1966b63.(5, 14).Apex	i looked into buying an <e1>inexpensive</e1> dvd player that had more than the standard <e2>set</e2> of feature and this item seemed to be the best in that category
-(e1, e2)
9b11689d3b0c95dc2f00e7b8943b4934.(9, 17).Apex	unlike some of the other people who received a <e1>lemon</e1> my dvd player came in perfect working <e2>condition</e2>
-(e1, e2)
9b11689d3b0c95dc2f00e7b8943b4934.(9, 12).Apex	unlike some of the other people who received a <e1>lemon</e1> my dvd <e2>player</e2> came in perfect working condition
-(e1, e2)
c6d4707ef2fab9972637895ce8590367.(17, 18).Apex	seems to read most dvds fine and read quietly i had a pioneer player that had fairly <e1>loud</e1> <e2>disc</e2> spin noise
-(e1, e2)
c6d4707ef2fab9972637895ce8590367.(17, 13).Apex	seems to read most dvds fine and read quietly i had a pioneer <e1>player</e1> that had fairly <e2>loud</e2> disc spin noise
-(e2, e1)
c6d4707ef2fab9972637895ce8590367.(17, 19).Apex	seems to read most dvds fine and read quietly i had a pioneer player that had fairly <e1>loud</e1> disc <e2>spin</e2> noise
-(e1, e2)
0a3d6bf18633218545bbb81dd93b8f68.(2, 6).Apex	it 's <e1>low</e1> profile space saving <e2>design</e2> look nice
-(e1, e2)
0a3d6bf18633218545bbb81dd93b8f68.(2, 7).Apex	it 's <e1>low</e1> profile space saving design <e2>look</e2> nice
-(e1, e2)
559deec06532af818dc647a493e9e9dc.(6, 12).Apex	progressive scan player for a relatively <e1>low</e1> price although the better known <e2>manufacturer</e2> like toshiba pioneer and panasonic are now offering lower-priced progressive scan player as well
-(e1, e2)
559deec06532af818dc647a493e9e9dc.(6, 15).Apex	progressive scan player for a relatively <e1>low</e1> price although the better known manufacturer like toshiba <e2>pioneer</e2> and panasonic are now offering lower-priced progressive scan player as well
-(e1, e2)
559deec06532af818dc647a493e9e9dc.(6, 2).Apex	progressive scan <e1>player</e1> for a relatively <e2>low</e2> price although the better known manufacturer like toshiba pioneer and panasonic are now offering lower-priced progressive scan player as well
-(e2, e1)
559deec06532af818dc647a493e9e9dc.(6, 24).Apex	progressive scan player for a relatively <e1>low</e1> price although the better known manufacturer like toshiba pioneer and panasonic are now offering lower-priced progressive scan <e2>player</e2> as well
-(e1, e2)
559deec06532af818dc647a493e9e9dc.(6, 14).Apex	progressive scan player for a relatively <e1>low</e1> price although the better known manufacturer like <e2>toshiba</e2> pioneer and panasonic are now offering lower-priced progressive scan player as well
-(e1, e2)
2359d422951fd48bbe8711993ef70ada.(0, 6).Apex	<e1>mixed</e1> bag i guess but the <e2>price</e2> was right
-(e1, e2)
8fd7717f6f4b86db0002350fe4354721.(14, 50).Apex	when i 1st tried it i found that it had no problem playing the <e1>more</e1> expensive dvd r medium disc 's that other player would play but to my surprise was able to play cheep medium that i had burned that i could n 't get to work before in <e2>anything</e2> but the dvd burner itself that i had made the disc with
-(e1, e2)
5af90fdafd59b525226aefa2ffc9fd00.(28, 33).Apex	i read in consumer report that apex is a reliable brand but with my experience and reading the other review i think i will be doing a little <e1>more</e1> homework before considering another <e2>apex</e2> product
-(e1, e2)
